Num_question,Num_equation,Num_diagram,Report,Coding,Days_left,Predicted_time
4,3,3,0,0,5,249
2,2,1,1,0,5,178
2,1,3,0,1,9,161
8,2,1,1,0,15,395
10,2,3,1,1,4,331
10,1,3,0,0,15,506
5,1,3,1,0,3,232
8,3,3,1,1,10,372
10,1,3,0,0,4,363
9,4,1,0,1,6,332
7,5,2,0,0,0,229
10,5,3,0,0,12,316
7,1,1,0,1,11,300
3,3,2,0,0,2,189
9,1,1,1,0,6,301
8,2,3,0,0,12,434
5,3,3,0,0,1,204
2,1,2,0,1,10,129
6,4,2,1,0,12,272
6,5,1,1,1,9,344
3,5,3,0,1,11,372
10,3,2,0,1,2,467
1,1,3,0,1,9,184
2,4,3,1,1,12,286
2,1,2,1,0,1,99
7,3,2,0,0,8,299
2,3,1,0,0,7,192
10,5,2,1,0,4,523
10,3,2,0,1,2,527
1,2,1,0,0,0,71
3,3,3,0,0,0,189
3,2,1,0,0,15,224
3,5,2,0,1,11,205
1,5,3,1,0,12,256
4,5,1,1,1,1,294
4,3,1,1,1,0,291
10,2,2,0,0,4,396
4,5,1,1,1,8,325
6,5,2,0,0,2,227
6,1,3,1,0,0,335
2,5,2,0,1,10,295
7,1,3,0,0,15,350
5,4,3,0,1,8,404
8,2,3,1,0,15,533
2,4,2,1,1,9,288
2,3,1,1,1,0,205
7,4,3,0,1,5,385
4,4,3,1,1,2,318
8,4,3,0,0,6,256
4,2,1,0,0,11,273
10,2,3,0,0,13,436
6,5,1,1,0,11,341
10,1,1,1,0,8,378
5,3,2,1,0,14,317
3,3,3,1,0,6,218
2,1,2,0,1,11,182
8,3,3,1,1,3,334
3,1,2,1,1,9,306
7,5,3,0,1,11,307
3,1,1,1,1,2,236
2,1,3,1,0,12,219
7,1,1,0,1,8,400
7,5,3,1,0,0,251
9,3,3,0,0,7,339
10,5,1,0,1,2,399
1,2,1,0,0,3,87
5,1,3,0,0,15,231
10,1,3,1,1,4,507
10,5,2,1,0,15,606
2,4,2,0,0,2,158
7,5,2,0,1,15,518
2,2,2,0,0,0,124
3,5,3,1,1,5,309
7,3,2,0,0,1,280
6,3,3,0,0,13,364
2,5,1,1,0,3,217
7,3,1,1,0,8,270
7,1,3,1,0,12,228
10,2,1,0,0,9,384
9,3,3,0,0,13,527
3,4,1,0,0,1,141
8,4,1,1,1,11,435
5,3,3,1,0,12,347
7,5,3,0,1,0,315
3,3,1,1,1,6,267
9,2,3,0,1,7,462
6,1,3,1,1,1,294
3,4,2,1,1,0,277
8,4,3,0,1,5,359
7,1,3,0,1,1,341
6,5,2,1,1,11,391
2,3,2,1,0,6,188
6,1,3,0,0,5,247
10,5,1,0,0,15,553
10,3,2,0,0,6,531
1,5,2,1,0,4,194
8,3,2,0,0,9,282
5,3,2,0,1,3,272
8,4,1,0,1,4,286
5,5,1,1,0,15,274
4,1,3,1,1,9,303
7,1,3,0,1,10,388
10,1,1,1,1,9,484
6,1,2,1,1,5,288
6,2,3,0,0,8,297
9,4,2,1,1,9,446
2,2,1,1,1,15,257
10,2,1,1,1,15,516
8,3,3,1,0,3,374
6,1,1,0,0,3,198
2,5,3,0,1,6,238
9,4,1,0,0,2,195
4,5,1,0,0,5,177
1,2,1,1,1,11,230
6,1,3,1,1,4,355
4,5,1,0,1,4,298
9,4,3,0,1,11,375
4,1,1,0,0,4,185
7,1,1,0,0,10,252
3,2,3,1,0,2,138
6,4,2,0,0,11,338
5,2,1,1,0,4,303
6,2,3,0,0,2,213
1,2,2,0,0,2,93
3,1,1,1,1,2,249
2,4,2,0,0,14,208
5,2,3,1,0,10,325
9,5,1,0,1,10,465
2,2,3,1,0,11,187
6,4,1,1,1,8,307
7,3,2,1,0,0,317
2,3,1,1,1,14,279
5,5,1,0,1,8,283
7,4,2,0,0,12,274
5,5,1,1,1,14,407
6,2,1,0,1,10,299
2,1,2,1,0,1,133
1,2,3,0,1,15,153
4,2,1,1,1,11,165
2,3,1,0,1,10,237
7,5,1,1,0,7,297
4,1,1,0,1,1,157
3,3,1,1,1,0,213
5,5,1,0,1,1,265
6,3,3,1,1,4,353
4,1,3,0,1,12,251
4,3,2,0,0,3,254
7,2,3,1,1,11,378
1,5,3,0,0,11,202
10,3,1,0,0,13,305
8,4,3,1,1,4,374
8,5,2,1,0,7,231
6,2,3,0,1,4,269
6,2,2,1,1,4,405
5,3,1,0,0,15,265
2,2,2,1,0,1,126
1,1,1,0,0,6,115
2,5,3,0,1,10,239
6,4,1,0,1,2,278
10,3,3,0,1,10,390
10,2,1,0,0,12,369
1,3,2,1,0,15,218
3,4,3,1,0,13,406
6,2,1,1,0,10,364
9,4,2,1,0,6,315
8,4,2,0,1,8,364
7,4,3,1,0,12,475
5,3,2,1,0,11,254
9,2,3,0,1,8,230
5,1,3,1,1,8,309
6,4,2,1,1,8,290
3,5,3,0,0,0,223
1,2,3,1,0,10,188
7,5,2,1,1,13,500
8,5,3,0,1,3,313
1,1,3,1,0,0,148
1,5,2,1,1,5,254
1,5,3,0,0,11,163
5,2,1,0,1,7,261
3,1,3,1,0,3,222
3,1,3,0,0,5,190
8,3,3,1,0,4,385
3,1,2,1,1,8,267
5,5,2,1,0,4,325
6,4,2,1,1,1,401
5,1,3,1,0,5,308
9,1,3,0,1,13,324
9,2,1,1,0,10,505
9,4,1,0,0,15,339
3,3,2,0,0,15,244
3,2,1,1,0,8,199
7,1,3,0,1,15,418
6,4,3,1,0,7,308
1,5,1,0,1,10,217
5,4,3,1,1,0,295
6,1,1,0,0,11,250
4,2,1,0,1,0,228
10,3,3,0,0,10,479
8,2,3,0,0,10,364
10,1,2,1,0,11,255
6,3,3,0,0,4,356
10,1,2,1,1,3,395
8,5,1,1,0,12,319
2,1,3,1,0,5,152
9,4,2,0,0,9,339
6,3,3,0,0,11,276
9,2,2,1,1,11,519
6,5,2,1,0,4,260
10,4,1,1,1,15,466
3,3,1,0,1,11,169
4,2,2,1,0,4,303
8,4,1,0,1,5,214
1,5,1,0,1,8,191
10,4,1,1,1,5,302
6,5,3,0,0,12,281
5,1,2,0,0,12,196
4,1,3,0,1,4,203
5,4,2,1,0,9,257
2,5,3,1,1,3,240
4,3,3,1,1,9,254
7,2,1,0,1,7,190
7,5,3,0,1,7,447
2,1,1,1,1,4,185
7,2,2,0,1,11,378
10,3,2,0,0,12,461
2,4,1,0,1,4,220
6,1,2,1,1,0,231
5,4,3,0,0,13,286
10,5,3,0,0,12,533
10,1,1,0,0,8,277
1,3,1,1,0,15,199
7,1,1,0,0,3,326
8,4,1,1,0,15,290
1,5,1,1,0,15,174
4,3,2,1,1,3,263
10,2,2,0,1,0,365
1,3,2,1,1,1,180
3,3,2,0,1,7,267
9,4,2,1,1,2,495
5,3,3,1,1,10,336
7,5,3,1,0,0,237
9,5,1,1,1,4,529
10,5,3,0,1,1,530
2,4,1,0,0,5,160
8,2,3,1,0,3,322
2,4,1,0,1,11,266
10,3,1,1,0,7,433
7,2,1,1,1,3,266
5,1,2,0,1,12,319
10,2,2,1,1,8,586
9,4,2,1,1,4,425
10,1,3,1,1,11,300
1,1,2,0,1,9,184
9,2,2,1,1,9,600
3,4,3,0,1,2,265
6,4,1,1,1,2,229
2,4,3,1,0,12,235
9,1,3,1,0,12,448
8,1,3,0,1,11,451
4,3,3,0,0,12,375
1,4,1,1,0,3,154
3,4,3,1,0,15,313
6,1,2,1,0,5,267
4,1,2,0,0,10,291
9,3,3,0,1,14,612
10,2,2,1,1,2,484
10,4,3,1,0,11,368
5,1,2,0,0,10,236
9,3,3,1,0,12,360
4,4,1,0,1,5,332
10,3,3,0,1,1,424
4,4,3,0,0,5,279
5,2,2,1,1,10,260
3,5,3,0,0,8,249
2,5,1,0,1,7,240
4,3,3,1,1,3,305
4,5,3,0,0,6,287
9,3,3,1,1,10,359
3,5,1,1,1,14,371
6,2,3,1,0,10,355
5,4,1,0,1,1,312
6,3,2,0,0,13,343
10,2,1,1,0,13,462
3,3,1,1,0,9,211
1,1,1,0,1,15,228
3,4,2,0,1,11,344
7,2,1,0,0,6,287
1,5,1,1,0,14,224
3,5,2,1,0,5,224
9,4,2,0,1,11,458
6,2,1,1,1,10,272
10,5,3,1,1,6,440
6,5,1,1,1,3,272
4,2,1,1,1,14,268
2,5,1,0,1,6,169
9,1,1,1,0,1,186
8,3,3,1,0,0,365
4,5,3,1,0,11,265
4,3,1,0,0,11,194
7,1,1,0,0,5,302
1,5,3,1,1,11,260
4,3,2,0,0,0,118
7,2,1,0,0,15,270
4,3,3,1,1,6,351
8,4,1,0,1,8,271
2,5,3,1,1,15,405
3,2,1,0,1,5,213
10,1,2,1,1,15,450
1,3,1,1,1,2,166
10,3,3,0,0,2,435
2,3,3,0,0,0,144
1,4,1,1,1,11,249
9,3,1,1,0,5,409
8,5,2,1,0,13,521
9,1,1,0,0,15,211
5,1,1,1,0,9,327
6,2,2,1,0,5,344
3,2,3,1,1,1,211
6,5,2,0,1,5,304
9,5,1,0,1,3,406
3,4,1,0,1,13,345
5,1,2,0,1,3,266
6,5,2,0,0,13,360
3,5,2,0,0,1,200
5,3,1,1,1,11,396
6,4,3,1,0,12,466
9,2,2,1,0,4,335
3,2,1,1,1,13,304
7,1,2,0,1,3,303
4,1,2,1,1,1,287
10,4,2,0,1,7,496
3,4,3,0,0,15,313
8,3,3,1,1,7,427
6,2,3,0,1,7,379
4,1,2,1,0,0,215
1,4,3,0,1,7,193
10,4,1,0,1,14,505
1,5,1,0,1,7,205
3,1,3,0,1,7,202
2,4,2,0,1,0,162
8,1,1,1,1,11,370
9,5,3,1,1,4,605
10,4,1,1,1,12,264
10,2,1,0,0,2,441
2,5,1,1,0,6,219
2,3,1,0,1,6,231
1,4,3,0,0,9,227
8,3,3,1,0,4,310
1,2,1,1,1,7,225
10,3,3,0,0,1,432
8,3,1,1,1,15,434
7,5,2,1,1,12,429
9,1,3,0,1,14,425
4,2,1,0,1,8,299
1,1,1,1,0,9,191
6,4,3,1,1,4,380
9,3,2,1,1,6,369
2,5,2,0,1,14,236
3,5,3,1,1,8,262
4,4,2,1,1,11,380
10,1,2,0,1,0,483
2,3,2,0,0,14,189
10,4,2,0,0,5,484
7,3,1,0,1,12,460
2,1,3,1,0,9,169
7,5,2,0,0,5,383
7,2,1,0,1,4,222
9,4,1,0,0,10,410
2,3,2,1,0,12,275
9,2,1,0,0,2,286
6,3,3,1,0,3,376
3,3,3,0,1,15,349
8,2,2,0,1,7,479
6,2,3,1,1,12,515
2,1,2,1,0,14,217
9,1,3,1,1,1,367
10,1,2,1,0,1,260
8,4,3,1,1,13,551
5,2,3,1,0,3,308
7,5,3,0,1,13,481
2,5,2,0,1,0,166
5,3,1,0,1,13,414
8,1,2,1,0,5,281
3,1,3,1,0,10,220
10,3,2,1,1,2,420
3,5,3,0,1,12,317
1,4,3,0,0,12,223

